         1159224 function calls (1156976 primitive calls) in 0.193 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      614    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:647(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 numbers.py:319(Integral)
       42    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:66(_CopyMode)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        2    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
      101    0.000    0.000    0.000    0.000 typing.py:307(_unpack_args)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1577(<genexpr>)
        2    0.000    0.000    0.000    0.000 typing.py:2888(__new__)
      392    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      256    0.000    0.000    0.000    0.000 typing.py:1592(__eq__)
       93    0.000    0.000    0.000    0.000 enum.py:720(__call__)
        8    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      229    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
        6    0.000    0.000    0.000    0.000 numeric.py:2737(extend_all)
        1    0.000    0.000    0.000    0.000 random.py:126(__init__)
       93    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      311    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       14    0.000    0.000    0.000    0.000 __init__.py:145(_check_size)
      179    0.000    0.000    0.000    0.000 _parser.py:261(get)
        5    0.000    0.000    0.000    0.000 typing.py:1999(__init_subclass__)
        1    0.000    0.000    0.000    0.000 random.py:135(seed)
      307    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.000    0.000 _twodim_base_impl.py:560(vander)
      279    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      405    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      108    0.000    0.000    0.000    0.000 __init__.py:28(decorator)
       21    0.000    0.000    0.000    0.000 overrides.py:25(get_array_function_like_doc)
        2    0.000    0.000    0.000    0.000 numeric.py:170(ones)
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
       24    0.000    0.000    0.000    0.000 inspect.py:176(get_annotations)
       11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
